date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-05-20,147.6547,148.0579,145.9014,146.5952,2034911,2034911,-1.2376,-0.837,146.7398,"May 20, 14",-0.030182425615665736
2014-05-21,147.3547,149.7831,147.3266,149.4081,4226325,4226325,2.8128,1.919,149.3126,"May 21, 14",-0.011573358913715883
2014-05-22,149.033,150.2988,148.7517,149.8769,1645058,1645058,0.468807,0.314,149.9299,"May 22, 14",-0.008471958056993485
2014-05-23,149.9331,150.4676,149.5579,150.1675,1214453,1214453,0.290658,0.194,150.0501,"May 23, 14",-0.006549460000330841
2014-05-27,151.0676,153.2335,150.5613,151.6771,3256763,3256763,1.5096,1.005,151.9845,"May 27, 14",0.0034374741577493473
2014-05-28,151.3854,152.044,150.3223,151.6489,1859886,1859886,-0.028204,-0.019,151.2151,"May 28, 14",0.003250913781982361
2014-05-29,151.6018,152.4109,150.1727,151.2255,1779171,1779171,-0.423366,-0.279,151.2054,"May 29, 14",0.000449861899012699
2014-05-30,150.9244,151.1314,149.739,150.3506,2234936,2234936,-0.874952,-0.579,150.5383,"May 30, 14",-0.0053381406810777705
2014-06-02,150.3223,150.7175,148.563,150.5575,2162512,2162512,0.206976,0.138,149.7386,"Jun 2, 14",-0.003969369697170133
2014-06-03,150.3882,152.3451,149.8519,152.2228,2408640,2408640,1.6652,1.106,151.4874,"Jun 3, 14",0.007047615897325688
2014-06-04,151.8841,153.0977,151.3384,152.7778,2098405,2098405,0.555076,0.365,152.5269,"Jun 4, 14",0.01071928286720814
2014-06-05,153.0883,153.7563,151.997,152.9566,1861574,1861574,0.178757,0.117,152.1684,"Jun 5, 14",0.011902155036964821
2014-06-06,153.2576,156.4188,153.2576,156.3529,3478086,3478086,3.3963,2.22,155.624,"Jun 6, 14",0.034370772207796545
2014-06-09,156.2118,156.9832,155.8355,156.1742,2377485,2377485,-0.178751,-0.114,156.3177,"Jun 9, 14",0.03318856159965608
2014-06-10,156.0424,157.3596,155.6849,156.5128,1692482,1692482,0.338688,0.217,156.4974,"Jun 10, 14",0.03542860923209235
2014-06-11,155.318,156.3247,154.9417,155.6379,2004076,2004076,-0.874951,-0.559,155.6022,"Jun 11, 14",0.02964060665200207
2014-06-12,155.9484,156.7857,155.2522,156.1365,2309882,2309882,0.498631,0.32,156.1486,"Jun 12, 14",0.03293915287035055
2014-06-13,156.3341,157.1808,155.6285,156.0707,1761060,1761060,-0.065861,-0.042,156.2739,"Jun 13, 14",0.032503845326894064
2014-06-16,155.7226,156.6728,154.7159,156.033,1756421,1756421,-0.037627,-0.024,155.8935,"Jun 16, 14",0.03225443659758853
2014-06-17,155.8355,158.7614,155.6567,158.2627,2450024,2450024,2.2297,1.429,157.9783,"Jun 17, 14",0.047005275953889133
